Timestamp=2025-07-19 23:20:52; Identity=alice@example.com; Device=WIN11-LAPTOP01; InternalIP=10.218.154.32; ExternalIP=89.148.67.74; Action=Blocked; Domain=portal.zntkbgsubt.dev; QType=AAAA; RCode=NOERROR
Timestamp=2025-07-19 23:24:31; Identity=charlie@example.com; Device=WIN11-LAPTOP01; InternalIP=10.104.169.99; ExternalIP=200.136.2.163; Action=Allowed; Domain=www.ykqghr.net; QType=SOA; RCode=SERVFAIL
Timestamp=2025-07-19 23:26:24; Identity=charlie@example.com; Device=MACBOOK-PRO; InternalIP=10.218.47.43; ExternalIP=33.168.196.189; Action=Allowed; Domain=api.ekdwldho.xyz; QType=SOA; RCode=SERVFAIL
Timestamp=2025-07-19 23:49:01; Identity=diana@corp.local; Device=LINUX-WS01; InternalIP=10.47.9.237; ExternalIP=199.246.207.172; Action=Blocked; Domain=cdn.lvcug.net; QType=SRV; RCode=NXDOMAIN
Timestamp=2025-07-19 23:57:02; Identity=charlie@example.com; Device=MACBOOK-PRO; InternalIP=10.171.248.76; ExternalIP=23.99.29.120; Action=Blocked; Domain=auth.tjuxmugdod.dev; QType=CAA; RCode=SERVFAIL
Timestamp=2025-07-20 00:02:13; Identity=diana@corp.local; Device=LINUX-WS01; InternalIP=10.118.179.52; ExternalIP=190.162.187.167; Action=Blocked; Domain=updates.dmatuqie.io; QType=NS; RCode=NOERROR
Timestamp=2025-07-20 00:02:26; Identity=alice@corp.local; Device=LINUX-WS01; InternalIP=10.32.15.27; ExternalIP=125.58.241.101; Action=Allowed; Domain=vpn.jnlrswoole.info; QType=SOA; RCode=NXDOMAIN
Timestamp=2025-07-20 00:02:47; Identity=alice@example.com; Device=WIN11-LAPTOP01; InternalIP=10.85.45.22; ExternalIP=65.70.210.87; Action=Allowed; Domain=www.bokufrwqaz.io; QType=CAA; RCode=NOERROR
Timestamp=2025-07-20 00:04:46; Identity=charlie@corp.local; Device=LINUX-WS01; InternalIP=10.44.255.231; ExternalIP=75.217.8.198; Action=Blocked; Domain=vpn.jdbfup.io; QType=SRV; RCode=SERVFAIL
Timestamp=2025-07-20 00:14:36; Identity=charlie@corp.local; Device=MACBOOK-PRO; InternalIP=10.246.207.57; ExternalIP=124.74.121.254; Action=Allowed; Domain=updates.jqrizipxhu.net; QType=A; RCode=FORMERR
Timestamp=2025-07-20 00:17:44; Identity=alice@corp.local; Device=MACBOOK-PRO; InternalIP=10.125.104.41; ExternalIP=22.37.160.69; Action=Allowed; Domain=portal.yefxodswbd.biz; QType=MX; RCode=NOERROR
Timestamp=2025-07-20 00:29:25; Identity=charlie@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.2.146.21; ExternalIP=116.133.161.131; Action=Blocked; Domain=status.kavvmy.info; QType=SOA; RCode=NXDOMAIN
Timestamp=2025-07-20 00:38:08; Identity=charlie@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.34.209.7; ExternalIP=103.143.246.249; Action=Blocked; Domain=auth.fzagsfof.com; QType=MX; RCode=NOERROR
Timestamp=2025-07-20 00:50:25; Identity=diana@example.com; Device=MACBOOK-PRO; InternalIP=10.32.159.215; ExternalIP=221.240.49.202; Action=Blocked; Domain=api.nlzffufq.co; QType=PTR; RCode=SERVFAIL
Timestamp=2025-07-20 00:56:26; Identity=bob@example.com; Device=WIN11-LAPTOP01; InternalIP=10.37.112.138; ExternalIP=196.140.136.141; Action=Allowed; Domain=www.dzaegwaoyp.org; QType=A; RCode=REFUSED
Timestamp=2025-07-20 01:01:03; Identity=charlie@example.com; Device=MACBOOK-PRO; InternalIP=10.216.147.78; ExternalIP=124.210.188.116; Action=Blocked; Domain=portal.saikwamyb.xyz; QType=TXT; RCode=FORMERR
Timestamp=2025-07-20 01:12:16; Identity=bob@corp.local; Device=LINUX-WS01; InternalIP=10.235.173.231; ExternalIP=79.119.249.178; Action=Allowed; Domain=assets.uwsbvlzk.co; QType=PTR; RCode=SERVFAIL
Timestamp=2025-07-20 01:13:19; Identity=bob@corp.local; Device=MACBOOK-PRO; InternalIP=10.93.20.123; ExternalIP=14.95.141.23; Action=Allowed; Domain=status.iinoyf.io; QType=A; RCode=SERVFAIL
Timestamp=2025-07-20 01:14:04; Identity=bob@corp.local; Device=MACBOOK-PRO; InternalIP=10.119.152.98; ExternalIP=99.117.84.23; Action=Allowed; Domain=portal.dqejze.net; QType=CAA; RCode=NXDOMAIN
Timestamp=2025-07-20 01:15:21; Identity=diana@corp.local; Device=MACBOOK-PRO; InternalIP=10.159.88.36; ExternalIP=93.33.163.189; Action=Blocked; Domain=cdn.vfinhqcv.dev; QType=NS; RCode=NOERROR
Timestamp=2025-07-20 01:26:55; Identity=charlie@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.175.177.201; ExternalIP=15.132.249.45; Action=Allowed; Domain=cdn.idqvo.org; QType=NS; RCode=NOERROR
Timestamp=2025-07-20 01:32:54; Identity=diana@corp.local; Device=MACBOOK-PRO; InternalIP=10.54.161.207; ExternalIP=196.150.96.5; Action=Allowed; Domain=updates.kmopqi.net; QType=SOA; RCode=FORMERR
Timestamp=2025-07-20 01:37:22; Identity=bob@example.com; Device=WIN11-LAPTOP01; InternalIP=10.15.192.185; ExternalIP=209.115.159.145; Action=Allowed; Domain=secure.kyckzmfy.net; QType=NS; RCode=FORMERR
Timestamp=2025-07-20 01:40:05; Identity=alice@corp.local; Device=LINUX-WS01; InternalIP=10.33.172.50; ExternalIP=185.100.41.145; Action=Blocked; Domain=cdn.lkwyvnwpjr.io; QType=SOA; RCode=NXDOMAIN
Timestamp=2025-07-20 01:42:22; Identity=diana@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.197.207.4; ExternalIP=22.180.119.82; Action=Blocked; Domain=updates.ntjqyn.co; QType=NS; RCode=NOERROR
Timestamp=2025-07-20 01:43:45; Identity=alice@corp.local; Device=MACBOOK-PRO; InternalIP=10.78.0.122; ExternalIP=204.197.243.76; Action=Allowed; Domain=assets.clvrp.dev; QType=AAAA; RCode=FORMERR
Timestamp=2025-07-20 01:59:37; Identity=diana@corp.local; Device=LINUX-WS01; InternalIP=10.213.147.114; ExternalIP=106.124.170.237; Action=Allowed; Domain=cdn.zhuoxl.info; QType=SRV; RCode=NOERROR
Timestamp=2025-07-20 02:00:29; Identity=diana@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.186.123.50; ExternalIP=105.177.178.88; Action=Allowed; Domain=api.qfzpu.xyz; QType=PTR; RCode=NOERROR
Timestamp=2025-07-20 02:12:01; Identity=bob@corp.local; Device=LINUX-WS01; InternalIP=10.151.145.84; ExternalIP=165.59.100.212; Action=Blocked; Domain=secure.mconzfzd.org; QType=PTR; RCode=NOERROR
Timestamp=2025-07-20 02:14:09; Identity=charlie@corp.local; Device=WIN11-LAPTOP01; InternalIP=10.168.24.65; ExternalIP=24.127.201.147; Action=Allowed; Domain=www.urrrksock.net; QType=PTR; RCode=SERVFAIL
Timestamp=2025-07-20 02:19:38; Identity=alice@corp.local; Device=MACBOOK-PRO; InternalIP=10.134.237.211; ExternalIP=37.199.135.71; Action=Allowed; Domain=cdn.onndfwhcrh.com; QType=AAAA; RCode=NOERROR
Timestamp=2025-07-20 02:21:07; Identity=bob@corp.local; Device=LINUX-WS01; InternalIP=10.103.96.116; ExternalIP=219.189.205.230; Action=Allowed; Domain=mail.rdofo.io; QType=NS; RCode=REFUSED
Timestamp=2025-07-20 02:30:26; Identity=bob@example.com; Device=MACBOOK-PRO; InternalIP=10.221.42.56; ExternalIP=183.176.135.151; Action=Blocked; Domain=api.zwglyg.org; QType=SOA; RCode=NOERROR
