Jul 19 23:28:22 postfix01 MTA[24308]: 3e72bw: from=<george.75@corporate.co>, to=<sara.92@mailbox.biz>, relay=mx.test.org [183.132.131.5], proto=ESMTP, delay=18.42, size=12359, nrcpts=1, msgid=<20250719232822.3e72bw@postfix01>, status=Rejected (553 Invalid recipient)
Jul 19 23:31:54 postfix01 MTA[37081]: lwcpvi: from=<michael.70@logistics.inc>, to=<susan.63@logistics.inc>, relay=smtp.banksecure.fin [171.230.109.232], proto=ESMTP, delay=4.42, size=2988, nrcpts=1, msgid=<20250719233154.lwcpvi@postfix01>, status=Bounced (554 Transaction failed)
Jul 19 23:32:46 postfix01 MTA[65461]: swga23: from=<ava.9@fastmail.pro>, to=<laura.35@alpha.tech>, relay=smtp.cloudmail.ai [101.7.243.58], proto=ESMTP, delay=5.92, size=18373, nrcpts=1, msgid=<20250719233246.swga23@postfix01>, status=Sent (250 Message queued)
Jul 19 23:38:19 postfix01 MTA[79889]: iph4wc: from=<luke.65@fastmail.pro>, to=<andrew.60@mailbox.biz>, relay=mx1.fastmail.pro [215.234.175.53], proto=ESMTP, delay=22.26, size=18477, nrcpts=1, msgid=<20250719233819.iph4wc@postfix01>, status=Deferred (451 Temporary local problem)
Jul 19 23:40:20 postfix01 MTA[90613]: 5mnxme: from=<nora.85@securemail.gov>, to=<steven.33@corporate.co>, relay=gw.researchlab.org [112.173.93.55], proto=ESMTP, delay=3.78, size=18466, nrcpts=1, msgid=<20250719234020.5mnxme@postfix01>, status=Bounced (550 User unknown)
Jul 19 23:40:40 postfix01 MTA[68176]: 3kjfdg: from=<olivia.8@banksecure.fin>, to=<bob.3@banksecure.fin>, relay=gw.researchlab.org [213.51.187.173], proto=ESMTP, delay=13.36, size=19144, nrcpts=1, msgid=<20250719234040.3kjfdg@postfix01>, status=Sent (250 OK)
Jul 19 23:47:11 mailgw1 MTA[89478]: fnt50u: from=<oliver.42@logistics.inc>, to=<david.91@marketing.agency>, relay=smtp.cloudmail.ai [19.48.30.14], proto=ESMTP, delay=14.66, size=12509, nrcpts=1, msgid=<20250719234711.fnt50u@mailgw1>, status=Rejected (553 Invalid recipient)
Jul 19 23:51:40 mailgw1 MTA[72673]: ow03n2: from=<justin.65@university.edu>, to=<john.40@securemail.gov>, relay=relay.partner.solutions [164.121.121.131], proto=SMTP, delay=14.81, size=17327, nrcpts=1, msgid=<20250719235140.ow03n2@mailgw1>, status=Rejected (550 Spam message blocked)
Jul 19 23:54:42 postfix01 MTA[47282]: 66rgbo: from=<john.56@alpha.tech>, to=<mark.63@banksecure.fin>, relay=smtp.marketing.agency [157.245.30.143], proto=SMTP, delay=17.43, size=2154, nrcpts=1, msgid=<20250719235442.66rgbo@postfix01>, status=Rejected (554 Relay access denied)
Jul 19 23:54:57 aixhost MTA[46473]: zb56yf: from=<zoe.1@alpha.tech>, to=<steven.54@partner.solutions>, relay=relay.mailbox.biz [199.60.171.93], proto=SMTP, delay=13.65, size=9390, nrcpts=2, msgid=<20250719235457.zb56yf@aixhost>, status=Bounced (554 Transaction failed)
Jul 19 23:55:49 postfix01 MTA[91268]: zvcj8z: from=<kevin.70@company.net>, to=<tom.76@mailservice.io>, relay=smtp.cloudmail.ai [189.246.238.146], proto=ESMTP, delay=6.09, size=18560, nrcpts=1, msgid=<20250719235549.zvcj8z@postfix01>, status=Deferred (451 Temporary local problem)
